GUBERNATURA
03/06/2024 15:00 (UTC-6)
"
"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
8166,8169,3,8166,100.0000,7414,'90.7910,10.7274,752,4409228,2477987,2468913,'56.2000
"
"
CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND_1,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,COTEJO
'110755C0200,110755C02000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0755,02,C,00,1,0,315,353,9,0,165,13,2,11,3,22,120,,9,3,0,0,2,2,1,0,0,9,0,362,649,13, ,1,I,3ce3a3859eb868fe6718eeaef80847cc1decd04f5941153af69c77bd25d693f4,02/06/2024 22:35:33,02/06/2024 22:37:42,02/06/2024 22:37:42,CASILLA,MOVIL,ACTA PREP,SI
'110755C0300,110755C03000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0755,03,C,00,1,0,309,360,8,368,183,17,3,8,9,20,100,,4,4,1,0,7,0,0,0,0,12,368,368,649,13, ,1,I,4399aa9e5f8a98c4a454814b7d951053a43f37233482546ab53317da92a10a5c,02/06/2024 22:16:52,02/06/2024 22:19:14,02/06/2024 22:19:14,CASILLA,MOVIL,ACTA PREP,SI
'110755C0400,110755C04000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0755,04,C,00,1,0,336,335,6,341,165,10,4,11,3,22,102,,7,0,0,0,0,0,2,2,0,12,341,340,649,12, ,1,I,6f5d64795b33e202d07bc1d3da4b1e76658c4809663ae6dde702fdc2a1a42a19,02/06/2024 22:39:39,02/06/2024 22:41:34,02/06/2024 22:41:34,CASILLA,MOVIL,ACTA PREP,SI
'110756B0100,110756B01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0756,01,B,00,2,0,347,394,4,384,225,20,5,11,7,17,96,,4,1,0,0,4,0,0,0,0,8,398,398,718,12, ,1,I,ace8ffcb9920976974e43865ab6d7d1e4f719b2b73d015270a3c586fb766b87e,03/06/2024 00:00:24,03/06/2024 00:03:10,03/06/2024 00:03:10,CASILLA,MOVIL,ACTA PREP,SI
'110756C0100,110756C01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0756,01,C,00,2,0,327,412,6,419,230,18,4,10,6,17,9,,0,0,0,0,4,0,0,0,0,5,419,303,717,13, ,1,I,f0132fd8002a263d321b6c4a7add5f0c11f53658bb8827210e454644192ffabe,02/06/2024 23:52:20,02/06/2024 23:57:00,02/06/2024 23:57:00,CASILLA,MOVIL,ACTA PREP,SI
'110756C0200,110756C02000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0756,02,C,00,2,0,329,408,8,416,216,21,4,13,7,19,111,,10,3,1,0,7,1,2,0,0,11,416,426,717,13, ,1,I,cf5f87b5cb8687b1a9e4cf145633d31ba1d59659fdc0deabc68323c109229e97,02/06/2024 23:45:16,02/06/2024 23:50:46,02/06/2024 23:50:46,CASILLA,MOVIL,ACTA PREP,SI
'110756C0300,110756C03000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0756,03,C,00,2,0,325,412,7,418,230,15,3,15,4,26,94,,6,6,0,0,6,3,1,0,0,9,418,418,717,13, ,1,I,226030e9b28a3cf7231104dec0dea136c629f07c0477d1009037be3b7129cb4e,03/06/2024 00:03:32,03/06/2024 00:08:33,03/06/2024 00:08:33,CASILLA,MOVIL,ACTA PREP,SI
'110757B0100,110757B01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0757,01,B,00,1,0,135,275,7,0,146,15,3,5,3,21,69,,5,2,0,0,6,1,0,1,0,5,282,282,390,13, ,1,I,a9b8375ddf5b9fca226de80c33b416d034fb352cdfc8bd3f0b0052e451c6c291,02/06/2024 23:34:28,02/06/2024 23:38:34,02/06/2024 23:38:34,CASILLA,MOVIL,ACTA PREP,SI
'110757C0100,110757C01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0757,01,C,00,1,0,149,262,5,267,149,13,2,9,2,10,62,,9,2,0,0,2,2,1,1,0,5,267,269,389,13, ,1,I,afeb823dab5ac930b6b3e404e49be88fb196e12547a289e36a91a39423941be8,02/06/2024 23:55:35,03/06/2024 00:00:21,03/06/2024 00:00:21,CASILLA,MOVIL,ACTA PREP,SI
'110758B0100,110758B01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0758,01,B,00,1,0,293,419,4,422,206,15,3,9,9,15,144,,13,2,0,0,2,1,1,0,0,2,422,422,690,13, ,1,I,a68772edb4f93da99e110b8779a939563dc9788bf96ab1f67c95e6d39f3b3855,03/06/2024 00:45:28,03/06/2024 00:46:56,03/06/2024 00:46:56,CASILLA,MOVIL,ACTA PREP,SI
